test_acc,val_acc,epoch,step,train_acc,final_test_acc
0.3897876739501953,0.3897727131843567,0,0,,
,,0,0,0.15446743369102478,
0.4744691550731659,0.46666666865348816,1,1,,
,,1,1,0.45562848448753357,
0.5452477335929871,0.5424242615699768,2,2,,
,,2,2,0.5459364056587219,
0.39004045724868774,0.4007575809955597,3,3,,
,,3,3,0.6439676880836487,
0.4079878628253937,0.4064393937587738,4,4,,
,,4,4,0.5833417177200317,
,,5,5,,0.5452477335929871
